MONTH_END,CODE,CODE_DISPLAY_NAME,PRICE_TYPE_DESCRIPTION,VALUE
2010-04-30,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1260.0
2010-04-30,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1260.0
2010-04-30,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1392.0
2010-04-30,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1260.0
2010-04-30,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1304.0
2010-04-30,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1316.0
2010-04-30,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1453.0
2010-04-30,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1626.0
2010-04-30,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1341.0
2010-04-30,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1478.0
2010-04-30,PA0007498,Base oil Group 1 SN 150 cfr India,value high,970.0
2010-04-30,PA0007499,Base oil Group 1 SN 500 cfr India,value high,990.0
2010-04-30,PA0007500,Base oil Group 1 Bright stock cfr India,value high,1090.0
2010-04-30,PA0007501,Base oil Group 2 N150 cfr India,value high,890.0
2010-04-30,PA0007502,Base oil Group 2 N500 cfr India,value high,995.0
2010-04-30,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,970.0
2010-04-30,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,1000.0
2010-04-30,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,935.0
2010-04-30,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,965.0
2010-04-30,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,1060.0
2010-04-30,PA0007524,Base oil Group 1 SN 150 fob European export,value high,850.0
2010-04-30,PA0007525,Base oil Group 1 SN 500 fob European export,value high,890.0
2010-04-30,PA0007526,Base oil Group 1 Bright stock fob European export,value high,1000.0
2010-04-30,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,890.5
2010-04-30,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,909.7
2010-04-30,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,830.0
2010-04-30,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,860.0
2010-04-30,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,860.0
2010-04-30,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,890.0
2010-04-30,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,894.0
2010-04-30,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,1000.0
2010-04-30,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,1058.0
2010-04-30,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,955.0
2010-04-30,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,955.0
2010-04-30,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1122.0
2010-04-30,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,900.0
2010-04-30,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,1058.0
2010-04-30,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,1079.0
2010-04-30,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,1003.5
2010-04-30,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,1029.7
2010-04-30,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,858.0
2010-04-30,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,877.2
2010-04-30,PA0007756,Base oil Group 1 SN 150 (LVI) cfr India,value high,870.0
2010-04-30,PA0007757,Base oil Group 1 SN 500 (LVI) cfr India,value high,900.0
2010-04-30,PA0007758,Base oil Group 1 SN 150 (LVI) cfr UAE,value high,870.0
2010-04-30,PA0007759,Base oil Group 1 SN 500 (LVI) cfr UAE,value high,900.0
2010-05-31,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,920.0
2010-05-31,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,1025.0
2010-05-31,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1150.0
2010-05-31,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,845.0
2010-05-31,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,960.0
2010-05-31,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,1110.0
2010-05-31,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,925.0
2010-05-31,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,1025.0
2010-05-31,PA0007461,Base oil Group 2 N150 fob Asia,value high,875.0
2010-05-31,PA0007462,Base oil Group 2 N500 fob Asia,value high,990.0
2010-05-31,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,955.45
2010-05-31,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,971.7
2010-05-31,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,900.0
2010-05-31,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,1020.0
2010-05-31,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1175.0
2010-05-31,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,915.0
2010-05-31,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,1025.0
2010-05-31,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1297.0
2010-05-31,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1319.0
2010-05-31,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1304.0
2010-05-31,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1275.0
2010-05-31,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1407.0
2010-05-31,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1275.0
2010-05-31,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1334.0
2010-05-31,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1341.0
2010-05-31,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1490.0
2010-05-31,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1682.0
2010-05-31,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1360.0
2010-05-31,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1496.0
2010-05-31,PA0007498,Base oil Group 1 SN 150 cfr India,value high,990.0
2010-05-31,PA0007499,Base oil Group 1 SN 500 cfr India,value high,1015.0
2010-05-31,PA0007500,Base oil Group 1 Bright stock cfr India,value high,1140.0
2010-05-31,PA0007501,Base oil Group 2 N150 cfr India,value high,920.0
2010-05-31,PA0007502,Base oil Group 2 N500 cfr India,value high,1020.0
2010-05-31,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,995.0
2010-05-31,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,1030.0
2010-05-31,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,980.0
2010-05-31,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,1015.0
2010-05-31,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,1090.0
2010-05-31,PA0007524,Base oil Group 1 SN 150 fob European export,value high,900.0
2010-05-31,PA0007525,Base oil Group 1 SN 500 fob European export,value high,920.0
2010-05-31,PA0007526,Base oil Group 1 Bright stock fob European export,value high,1035.0
2010-05-31,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,924.8
2010-05-31,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,941.0
2010-05-31,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,870.0
2010-05-31,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,890.0
2010-05-31,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,930.0
2010-05-31,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,910.0
2010-05-31,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,954.0
2010-05-31,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,1132.0
2010-05-31,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,1161.0
2010-05-31,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,1063.0
2010-05-31,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,1098.0
2010-05-31,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1170.0
2010-05-31,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,979.0
2010-05-31,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,1147.0
2010-05-31,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,1191.0
2010-05-31,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,1136.85
2010-05-31,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,1159.75
2010-05-31,PA0007695,Base oil Group 1 SN 150 fob NWE month,value high,904.8
2010-05-31,PA0007696,Base oil Group 1 SN 150 fob NWE quarter,value high,921.0
2010-05-31,PA0007756,Base oil Group 1 SN 150 (LVI) cfr India,value high,890.0
2010-05-31,PA0007757,Base oil Group 1 SN 500 (LVI) cfr India,value high,910.0
2010-05-31,PA0007758,Base oil Group 1 SN 150 (LVI) cfr UAE,value high,890.0
2010-05-31,PA0007759,Base oil Group 1 SN 500 (LVI) cfr UAE,value high,905.0
2010-05-31,PA0007877,Base oil Group 3 4cst fca NWE $/t,value high,1112.0
2010-05-31,PA0007878,Base oil Group 3 6cst fca NWE $/t,value high,1149.0
2010-05-31,PA0007879,Base oil Group 3 8cst fca NWE $/t,value high,1186.0
2010-06-30,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,935.0
